district_name,ref_district_id,state_name,ref_state_id,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
SHIVPURI,751,Madhya Pradesh,23,369906,411008,35963,337857,174,5,8,400,3,4318,129462
JHABUA,752,Madhya Pradesh,23,430840,132650,2516,424992,137,0,0,273,0,5,628382
MORENA,753,Madhya Pradesh,23,108548,685578,14607,165323,348,38,256,498,59,4386,164252
NEEMUCH,754,Madhya Pradesh,23,237347,169746,6701,166426,451,0,0,123,301,1115,46746
DHAR,755,Madhya Pradesh,23,663537,279509,5353,687834,391,8,1,212,0,355,677395
BHIND,756,Madhya Pradesh,23,126126,424230,12516,184256,241,3,7,98,212,4962,15742
KHARGONE,757,Madhya Pradesh,23,612923,274497,2568,425712,201,13,0,222,0,2117,453412
ALIRAJPUR,758,Madhya Pradesh,23,362015,73417,1466,498099,10,0,7,271,0,20,1351543
GUNA,759,Madhya Pradesh,23,374738,300904,2057,140961,185,0,1,429,19,2564,49192
UJJAIN,760,Madhya Pradesh,23,265521,352004,1978,265505,969,138,5,150,20,3000,173307
DINDORI,761,Madhya Pradesh,23,448069,62845,309,75530,107,33,0,7,0,4457,219140
BURHANPUR,762,Madhya Pradesh,23,137834,54672,30070,121851,207,1,1,102,0,231,99746
BALAGHAT,763,Madhya Pradesh,23,605928,186805,35,328851,104,0,0,10,0,5683,657195
VIDISHA,764,Madhya Pradesh,23,314682,161822,816,88020,162,49,3,113,0,461,67653
SHEOPUR,765,Madhya Pradesh,23,264113,198624,8591,203050,140,1,26,300,60,2849,94587
CHHINDWARA,766,Madhya Pradesh,23,712157,167074,336,368674,274,128,0,174,7,1199,667474
RATLAM,767,Madhya Pradesh,23,319748,193437,2425,282104,513,0,10,56,20,806,347617
BHOPAL,768,Madhya Pradesh,23,124565,111371,715,50076,135,14,21,7,2,3359,1174428
GWALIOR,769,Madhya Pradesh,23,146644,269483,18576,154554,279,31,407,747,279,2391,129798
SATNA,770,Madhya Pradesh,23,579909,244153,20241,289844,103,260,357,180,0,6398,39245
SIDHI,771,Madhya Pradesh,23,520013,110308,12795,299223,11,0,6,32,0,8684,333337
TIKAMGARH,772,Madhya Pradesh,23,307206,316146,35662,364233,441,147,3,73,2,4344,236332
DEWAS,773,Madhya Pradesh,23,387133,249338,45,246694,282,1,0,96,1,982,185062
UMARIA,774,Madhya Pradesh,23,330607,51632,3969,97151,18,0,0,6,0,2146,44668
MANDLA,775,Madhya Pradesh,23,486200,82098,102,109461,59,0,0,1,4,17160,362429
SINGRAULI,776,Madhya Pradesh,23,549102,81239,4321,227350,15,92,5,9,0,2291,167494
REWA,777,Madhya Pradesh,23,662769,261655,24145,292711,114,8,1,12,0,11701,199650
ANUPPUR,778,Madhya Pradesh,23,380613,63566,117,74527,117,0,0,1,0,2315,367497
BETUL,779,Madhya Pradesh,23,573205,173775,2360,233219,393,10,2,299,10,3454,525215
HARDA,780,Madhya Pradesh,23,159487,83911,102,76337,216,0,0,1,0,279,34276
DATIA,781,Madhya Pradesh,23,114229,290054,14309,163737,101,38,299,538,3,3470,37947
RAJGARH,782,Madhya Pradesh,23,271753,483042,1189,171777,358,5,0,245,0,2494,244739
CHHATARPUR,783,Madhya Pradesh,23,303664,397354,16661,435965,578,9,993,739,4,15596,168596
DAMOH,784,Madhya Pradesh,23,480106,137718,2409,151180,165,22,1,42,0,3828,30653
AGAR MALWA,785,Madhya Pradesh,23,159108,161642,1119,143352,282,0,0,179,72,354,96469
SEONI,786,Madhya Pradesh,23,445612,113909,91,214520,115,11,12,23,0,1540,273245
EAST NIMAR,787,Madhya Pradesh,23,373827,170331,136,211682,144,47,0,56,0,355,118692
SHAJAPUR,788,Madhya Pradesh,23,163296,213622,107,106282,225,0,0,65,0,979,116701
BARWANI,789,Madhya Pradesh,23,420132,144617,3295,441719,76,0,0,94,10,1462,826926
RAISEN,790,Madhya Pradesh,23,454429,138604,1339,141671,172,11,0,85,0,595,125327
JABALPUR,791,Madhya Pradesh,23,294821,101598,1013,124914,76,1,0,4,1,4991,2658848
SHAHDOL,792,Madhya Pradesh,23,524536,115837,3984,139300,10,0,0,0,0,3623,144981
PANNA,793,Madhya Pradesh,23,365515,197897,10856,203125,59,18,27,392,0,7337,42042
KATNI,794,Madhya Pradesh,23,381404,97825,1730,148375,120,13,59,39,0,5722,88380
INDORE,795,Madhya Pradesh,23,239874,173194,219,144673,659,3,1,32,11,749,679528
Mandsaur,796,Madhya Pradesh,23,263951,254333,10495,218516,804,0,0,189,649,1225,166220
Nandurbar,497,Maharashtra,27,304305,73966,36210,323264,224,0,0,198,9,7314,940194
Dhule,498,Maharashtra,27,354544,97659,492632,332041,907,0,0,74,5,9116,2039025
Jalgaon,499,Maharashtra,27,577302,269105,70471,433156,1053,175,16,342,93,9599,1030660
Buldhana,500,Maharashtra,27,461529,134148,125280,364689,356,23,8,328,5,5251,400121
Akola,501,Maharashtra,27,233271,49797,9581,151076,342,0,0,2364,1,1356,188029
Washim,502,Maharashtra,27,168091,53826,9394,127477,125,0,36,59,2,7193,127107
Amravati,503,Maharashtra,27,464967,129627,83200,340681,409,117,1,1591,1,4801,1389783
Wardha,504,Maharashtra,27,275880,46649,5358,161359,35,0,0,26,1,590,274733
Nagpur,505,Maharashtra,27,418548,72482,15476,289098,73,0,0,47,5,1909,1365358
Bhandara,506,Maharashtra,27,213036,106861,3169,199183,46,0,0,12,3,83,315774
Gondia,507,Maharashtra,27,292627,92527,1189,194975,73,0,2,0,0,366,641543
Gadchiroli,508,Maharashtra,27,459471,66259,18605,239587,2,0,0,0,0,25210,1018969
Chandrapur,509,Maharashtra,27,395914,64038,50465,240280,11,2,0,20,2,1556,672089
Yavatmal,510,Maharashtra,27,596113,88384,22587,349979,308,21,2,198,19,1406,886784
Nanded,511,Maharashtra,27,502428,236386,76893,318564,457,0,12,4634,125,6529,557371
Hingoli,512,Maharashtra,27,232203,74125,16907,154284,112,57,0,71,0,1670,171869
Parbhani,513,Maharashtra,27,299861,98495,31673,171698,293,16,0,656,7,6428,173237
Jalna,514,Maharashtra,27,421975,82073,30534,300988,273,8,0,200,2,4074,294119
Aurangabad,515,Maharashtra,27,538572,94430,88244,431182,643,40,11,325,6,10646,602141
Nashik,516,Maharashtra,27,895050,221234,243373,626644,1485,7,15,274,22,7616,8013261
Thane,517,Maharashtra,27,79522,92521,1827,60045,214,3,8,53,0,1961,2976468
Mumbai,519,Maharashtra,27,3226,24388,458,6389,80,20,1,38,13,406,20063
Raigad,520,Maharashtra,27,176906,62225,2203,90188,235,0,0,11,7,513,4044852
Pune,521,Maharashtra,27,846745,298148,290633,575905,3148,12,410,223,42,11439,16406458
Ahmednagar,522,Maharashtra,27,1378303,221355,285751,1194052,2434,63,2,825,5,5466,8971487
Beed,523,Maharashtra,27,496368,258440,68693,468149,507,4,0,481,3,3803,1540090
Latur,524,Maharashtra,27,257508,257187,35094,148886,296,6,3,438,14,6165,504048
Osmanabad,525,Maharashtra,27,362422,188446,22131,217400,269,5,2,26,25,590,759610
Solapur,526,Maharashtra,27,745404,496454,125386,962504,581,59,29,1903,30,10457,3099062
Satara,527,Maharashtra,27,352436,326896,185905,364348,757,0,0,767,2,313,3995976
Ratnagiri,528,Maharashtra,27,235060,41112,1212,38161,20,0,2,115,1,128,859984
Sindhudurg,529,Maharashtra,27,105920,51334,22,30935,3,0,0,0,0,1364,919101
Kolhapur,530,Maharashtra,27,283637,568884,96176,130053,1085,37,9,36,5,806,3380613
Sangli,531,Maharashtra,27,324756,493998,130754,454125,1106,9,3,1223,0,3317,3744287
Palghar,678,Maharashtra,27,238404,70233,2843,113538,235,11,109,14,10,1559,1973499
Senapati,272,Manipur,14,31828,12490,2849,10393,1,3,0,0,0,33385,477638
Tamenglong,273,Manipur,14,10140,3273,64,3456,75,9,0,0,0,11291,228476
Churachandpur,274,Manipur,14,23480,7259,574,3587,5,49,0,0,0,24289,159717
Bishnupur,275,Manipur,14,40228,926,42,2127,10,87,0,0,0,46663,1414731
Thoubal,276,Manipur,14,25982,492,358,3627,29,22,0,0,0,32178,931460
Imphal West,277,Manipur,14,26517,569,386,5297,40,571,0,0,0,19746,1075519
Imphal East,278,Manipur,14,40644,481,1165,7607,3,163,0,2,0,28442,782453
Ukhrul,279,Manipur,14,10810,9149,41,1219,0,2,0,0,0,25907,641464
Chandel,280,Manipur,14,14843,1591,442,1384,2,12,0,0,0,13354,186179
West Garo Hills,293,Meghalaya,17,223021,937,10689,94962,7,0,0,0,0,117679,1071760
East Garo Hills,294,Meghalaya,17,77272,0,0,37889,0,0,0,0,0,54654,409399
South Garo Hills,295,Meghalaya,17,74686,3,20,34160,0,3,0,0,0,53753,559243
West Khasi Hills,296,Meghalaya,17,78453,3779,1469,35356,157,26,0,0,0,66016,623516
Ri Bhoi,297,Meghalaya,17,54562,4259,13,14629,2,10,0,0,0,53679,538527
East Khasi Hills,298,Meghalaya,17,77909,779,1932,58783,2,0,0,0,0,154787,653304
West Jaintia Hills,299,Meghalaya,17,57622,1706,50,14042,0,0,0,0,0,60890,266985
East Jaintia Hills,668,Meghalaya,17,55614,1124,0,10170,0,0,0,0,0,23102,131351
North Garo Hills,677,Meghalaya,17,72675,20,7,2745,0,0,0,0,0,58558,616068
South West Garo Hills,683,Meghalaya,17,99024,1187,1474,58297,0,2,0,0,0,36149,327417
South West Khasi Hills,684,Meghalaya,17,32732,1920,25,36470,60,4,0,0,0,27097,181962
AIZAWL,893,Mizoram,15,10435,58,0,517,7,7,0,0,0,82045,694430
CHAMPHAI,894,Mizoram,15,8884,789,41,922,15,49,0,0,0,47135,280715
KOLASIB,895,Mizoram,15,6663,530,119,1603,7,10,0,0,0,35390,169507
LAWNGTLAI,896,Mizoram,15,5785,126,110,2647,10,0,0,0,0,30666,207120
LUNGLEI,897,Mizoram,15,5663,25,0,4709,0,6,0,0,0,35824,281721
MAMIT,898,Mizoram,15,2813,11,10,1371,1,0,0,0,0,25910,133590
SIAHA,899,Mizoram,15,2580,397,199,2549,0,0,0,0,0,17651,122163
SERCHHIP,900,Mizoram,15,2878,173,6,502,21,26,8,0,0,17844,158564
Mon,261,Nagaland,13,9782,1050,93,3794,0,0,0,0,0,32285,287651
Mokokchung,262,Nagaland,13,2081,73,3,994,0,0,0,0,0,41732,224619
Zunheboto,263,Nagaland,13,9996,9,3,2851,0,0,0,0,0,39738,275182
Wokha,264,Nagaland,13,2299,57,8,798,0,0,0,0,0,25526,174013
Dimapur,265,Nagaland,13,20255,3735,3,11227,5,13,0,0,0,65315,434302
Phek,266,Nagaland,13,2764,1333,17,2987,0,0,0,0,0,32785,420778
Tuensang,267,Nagaland,13,4578,46,0,1660,0,0,0,0,0,49353,253195
Longleng,268,Nagaland,13,8244,0,0,1109,0,0,0,0,0,15635,69994
Kiphire,269,Nagaland,13,1430,23,0,406,0,0,0,0,0,27796,121226
Kohima,270,Nagaland,13,7849,320,5,3700,0,16,0,0,0,46039,306140
Peren,271,Nagaland,13,9018,9008,229,2076,16,20,0,2,0,28491,271844
Bargarh,370,Odisha,21,244755,4825,62884,175820,5,0,0,0,0,1947,593170
Jharsuguda,371,Odisha,21,95638,1524,6956,57052,0,0,0,0,0,1330,142920
Sambalpur,372,Odisha,21,247795,5898,18840,200748,0,0,0,0,0,6453,519190
Deogarh,373,Odisha,21,128338,1571,1936,101691,0,0,0,0,0,832,179909
Sundargarh,374,Odisha,21,459733,17094,21158,576052,13,0,0,0,0,30219,1449266
Kendujhar,375,Odisha,21,626833,5707,51040,517321,13,0,0,0,0,3166,2023721
Mayurbhanj,376,Odisha,21,673442,8569,98674,1050151,8,3,0,1,0,18324,3761128
Baleshwar,377,Odisha,21,622128,1342,1987,313395,1,2,0,0,0,2851,1652494
Bhadrak,378,Odisha,21,452147,3489,842,107591,2,0,0,4,0,270,345067
Kendrapara,379,Odisha,21,322484,14561,15675,112532,0,0,1,0,0,1079,445595
Jagatsinghapur,380,Odisha,21,209978,10761,12101,107573,4,1,0,0,0,858,494937
Cuttack,381,Odisha,21,548770,14827,67753,221665,5,2,2,1,0,932,1403204
Jajapur,382,Odisha,21,478510,3895,10098,186456,8,0,0,0,0,4443,328773
Dhenkanal,383,Odisha,21,376196,13729,19429,164167,3,0,0,0,0,367,795049
Anugul,384,Odisha,21,364263,6321,35110,200353,1,0,0,0,0,1461,221122
Nayagarh,385,Odisha,21,210092,12363,34629,102397,1,0,0,0,0,0,670909
Khordha,386,Odisha,21,276331,9636,26974,79402,14,0,13,0,0,1290,1575988
Puri,387,Odisha,21,367150,13524,24774,111717,5,0,0,0,7,1241,597382
Ganjam,388,Odisha,21,445913,46775,165614,235336,15,0,0,59,1,3784,2939024
Gajapati,389,Odisha,21,167664,5454,9853,139274,0,0,0,4,0,7657,364483
Kandhamal,390,Odisha,21,261008,48739,6803,269391,0,0,0,0,0,5627,473199
Boudh,391,Odisha,21,129631,6730,64545,115103,0,0,0,0,0,156,106865
Sonepur,392,Odisha,21,112333,2570,44787,108787,1,19,0,0,0,738,354398
Balangir,393,Odisha,21,312205,20760,92209,313982,1,0,0,0,0,1475,2147654
Nuapada,394,Odisha,21,155571,12659,29903,80190,1,0,0,12,0,647,301749
Kalahandi,395,Odisha,21,284533,21432,80834,257495,5,0,0,1,0,2283,812278
Rayagada,396,Odisha,21,247259,48268,21561,154622,0,0,0,0,0,8278,466503
Nabarangpur,397,Odisha,21,338681,27882,102986,63027,0,0,0,0,0,3929,664686
Koraput,398,Odisha,21,443778,61019,128662,143646,7,0,0,1,0,6485,1009944
Malkangiri,399,Odisha,21,300811,6400,20532,126516,3,0,2,0,0,17040,598650
Yanam,634,Puducherry,34,763,1494,61,1219,0,0,0,0,0,76,9381
Pondicherry,635,Puducherry,34,52570,439,1792,27623,5,4,0,4,0,647,144426
Mahe,636,Puducherry,34,296,0,0,395,0,0,0,0,0,0,1233
Karaikal,637,Puducherry,34,18355,462,592,44393,13,7,0,0,1,157,80959
Gurdaspur,35,Punjab,3,181922,208957,911,9290,1064,10,19,45,0,2654,877576
Kapurthala,36,Punjab,3,72682,103096,211,5039,154,27,55,1,0,743,168716
Jalandhar,37,Punjab,3,150699,187876,984,12184,574,0,12,1,0,1367,135285
Hoshiarpur,38,Punjab,3,151907,169082,1502,12979,747,75,51,20,0,1786,1117623
Nawanshahr (Sbs Nagar),39,Punjab,3,62678,87661,357,5226,116,0,45,0,0,215,127581
Fatehgarh Sahib,40,Punjab,3,68655,113268,834,6455,195,4,21,8,2,2506,402641
Ludhiana,41,Punjab,3,227300,371622,2650,29100,1483,54,251,22,2,6755,2753613
Moga,42,Punjab,3,109048,168012,2126,16251,564,0,24,44,2,1824,136744
Firozepur,43,Punjab,3,91179,170646,2099,9894,329,13,12,8,1,676,483159
Muktsar,44,Punjab,3,113102,116110,7529,31635,835,1,239,56,6,382,166055
Faridkot,45,Punjab,3,70472,93343,2175,15333,622,13,45,16,7,936,56161
Bathinda,46,Punjab,3,155456,234702,6021,48112,660,62,156,39,26,2530,336392
Mansa,47,Punjab,3,83315,223023,6298,20670,358,16,111,12,5,2256,341416
Patiala,48,Punjab,3,124148,275744,8462,10359,448,7,29,4,0,4554,1909462
Amritsar,49,Punjab,3,191120,267563,1038,11315,1119,6,41,25,2,2281,469795
Tarn Taran,50,Punjab,3,106421,237717,4755,8638,398,12,7,16,2,1428,175308
Rupnagar,51,Punjab,3,72844,132718,201,6216,303,8,26,15,3,2579,186114
S.A.S Nagar,52,Punjab,3,41699,116311,7749,7296,1974,16,26,18,6,5954,1835237
Sangrur,53,Punjab,3,160487,402475,4184,30580,628,13,102,33,10,5901,2598279
Barnala,54,Punjab,3,64601,144699,1113,10934,301,10,149,5,2,2493,2358341
Fazilka,669,Punjab,3,155016,161979,22993,32038,295,0,194,49,40,2684,62966
Pathankot,679,Punjab,3,76709,29343,1368,8405,711,18,29,34,4,457,951520
Ganganagar,99,Rajasthan,8,636702,200125,233917,303487,751,24,96,1001,5707,1502,72345
Hanumangarh,100,Rajasthan,8,544264,302203,170021,180537,720,41,250,788,17375,969,174059
Bikaner,101,Rajasthan,8,1194729,208251,662136,626769,679,55,8,1828,27357,599,8161
Churu,102,Rajasthan,8,438583,277343,281757,594230,774,8,143,965,19652,633,184844
Jhunjhunu,103,Rajasthan,8,269096,347110,152990,442134,1265,29,237,792,9195,2979,2127197
Alwar,104,Rajasthan,8,241856,1144753,60432,403117,1086,66,330,209,4918,11722,433069
Bharatpur,105,Rajasthan,8,205401,760323,76693,168158,700,1,20,203,1747,15148,196778
Dholpur,106,Rajasthan,8,68757,371410,13830,100811,282,44,83,291,172,2622,3583
Karauli,107,Rajasthan,8,73155,518622,82925,340529,548,0,9,133,2149,9272,10778
Sawai Madhopur,108,Rajasthan,8,77627,301792,110011,256260,653,0,10,328,1990,8197,6454
Dausa,109,Rajasthan,8,151525,526460,59797,311068,589,16,1,203,777,6428,18601
Jaipur,110,Rajasthan,8,691457,1214213,253706,787220,1722,72,9,976,4304,16366,913212
Sikar,111,Rajasthan,8,383541,488798,175454,920453,990,2,21,224,3998,4932,369701
Nagaur,112,Rajasthan,8,573991,545342,446667,1195815,1244,10,30,293,3972,3103,83558
Jodhpur,113,Rajasthan,8,1069027,317852,619468,1640570,1306,27,18,766,13097,1219,32753
Jaisalmer,114,Rajasthan,8,407048,4638,836992,1104272,1106,0,5,4911,34492,785,3160
Barmer,115,Rajasthan,8,905199,222727,1013419,2946662,1944,0,14,2659,25907,279,10636
Jalore,116,Rajasthan,8,299259,587826,416458,352280,2637,0,0,339,4962,33,7247
Sirohi,117,Rajasthan,8,205103,211005,154465,352535,524,2,0,399,3589,74,52819
Pali,118,Rajasthan,8,360871,329807,764787,682447,1421,156,8,468,4745,3847,85584
Ajmer,119,Rajasthan,8,384657,520779,363893,739132,1686,51,3,311,1103,14910,8183545
Tonk,120,Rajasthan,8,171736,437452,219177,319250,1092,13,0,175,580,5608,50258
Bundi,121,Rajasthan,8,193509,325032,55969,306938,906,0,5,252,3056,11652,17492
Bhilwara,122,Rajasthan,8,705423,477272,359901,829826,1484,1,0,490,3657,7336,414746
Rajsamand,123,Rajasthan,8,244731,234272,68347,537215,860,13,0,672,1558,3005,28837
Dungarpur,124,Rajasthan,8,431401,329357,65783,803899,233,3,21,796,2670,28,136557
Banswara,125,Rajasthan,8,657389,361245,7958,720497,347,1357,6,1113,451,117,395045
Chittorgarh,126,Rajasthan,8,379026,473245,26731,488760,1194,74,2,83,2723,1935,62627
Kota,127,Rajasthan,8,216343,240628,22434,137387,506,28,3,283,1862,6619,33365
Baran,128,Rajasthan,8,298103,266017,11392,184809,374,45,1,517,1396,6409,46749
Jhalawar,129,Rajasthan,8,250823,344217,10173,285594,605,50,6,200,1077,5317,16811
Udaipur,130,Rajasthan,8,831496,597128,83081,1360159,1003,10,0,586,2349,124,344163
Pratapgarh,131,Rajasthan,8,375802,206072,23093,417383,245,5,0,120,152,1039,98241
North District,241,Sikkim,11,11918,49,337,3595,25,0,0,0,0,2053,38566
West District,242,Sikkim,11,42639,857,985,30515,72,0,0,0,0,8862,137801
South District,243,Sikkim,11,46589,151,591,27158,0,0,0,0,0,9054,244516
East District,244,Sikkim,11,46864,87,103,29238,18,0,0,2,0,7351,159981
Thiruvallur,602,Tamil Nadu,33,282138,51239,63236,243313,89,29,4,30,0,1973,756033
Chennai,603,Tamil Nadu,33,25588,7789,275,12107,655,4,47,10,0,140,72694
Kanchipuram,604,Tamil Nadu,33,428458,41940,118823,209468,37,5,104,33,0,608,392043
Vellore,605,Tamil Nadu,33,582221,16130,210317,305430,74,8,0,91,0,2288,1866187
Tiruvannamalai,606,Tamil Nadu,33,739467,5114,177712,248410,10,23,55,28,0,5361,453915
Villupuram,607,Tamil Nadu,33,873822,8942,216692,471451,157,20,9,63,0,3662,1615305
Salem,608,Tamil Nadu,33,633437,48411,336885,576380,85,360,0,27,0,6519,5117756
Namakkal,609,Tamil Nadu,33,267796,63328,101866,492711,49,3,1,4,0,8583,48375945
Erode,610,Tamil Nadu,33,340426,87416,197934,420691,337,37,1,149,3,2025,6185870
The Nilgiris,611,Tamil Nadu,33,26095,2494,2502,17585,197,25,14,74,0,473,71834
Dindigul,612,Tamil Nadu,33,297004,27061,172066,348868,883,560,0,59,3,1560,4122258
Karur,613,Tamil Nadu,33,165036,26845,263792,228249,34,6,3,4,0,1397,1039118
Tiruchirappalli,614,Tamil Nadu,33,336903,8792,136163,559063,77,40,2,9,0,1280,1683616
Perambalur,615,Tamil Nadu,33,132472,1028,31089,123719,8,5,0,0,0,670,525684
Ariyalur,616,Tamil Nadu,33,161093,1831,38061,250487,6,16,0,0,0,1998,286423
Cuddalore,617,Tamil Nadu,33,353663,6031,42675,341587,15,161,44,20,0,8280,1054647
Nagapattinam,618,Tamil Nadu,33,251634,7093,32554,486509,69,29,0,1,0,426,564913
Thiruvarur,619,Tamil Nadu,33,200248,1212,1279,290998,42,0,0,5,0,551,370702
Thanjavur,620,Tamil Nadu,33,350527,3749,25025,429251,88,16,1,1,0,610,815455
Pudukkottai,621,Tamil Nadu,33,360299,3522,133569,479440,16,16,0,10,0,273,2199888
Sivaganga,622,Tamil Nadu,33,246623,885,177058,339481,12,0,5,3,0,845,1174770
Madurai,623,Tamil Nadu,33,262725,3873,108429,270564,27,21,0,13,0,323,768019
Theni,624,Tamil Nadu,33,110275,1423,47699,95388,32,40,0,26,0,819,618897
Virudhunagar,625,Tamil Nadu,33,206593,6200,419017,505861,29,0,0,5,0,1384,971527
Ramanathapuram,626,Tamil Nadu,33,88466,493,293621,393956,8,1,0,89,0,1589,618806
Tuticorin,627,Tamil Nadu,33,117605,4760,184606,380917,52,32,1,160,0,1601,703948
Tirunelveli,628,Tamil Nadu,33,298106,14560,216036,379818,42,94,3,139,0,3611,1785777
Kanniyakumari,629,Tamil Nadu,33,70371,1409,224,108901,17,2,0,4,0,1502,933352
Dharmapuri,630,Tamil Nadu,33,359788,25083,89313,228386,51,5,0,124,0,993,4552310
Krishnagiri,631,Tamil Nadu,33,395757,9843,231303,192414,71,13,1,171,0,2823,5974000
Coimbatore,632,Tamil Nadu,33,259917,3170,99642,195781,328,9,10,61,1,1160,8382014
Tiruppur,633,Tamil Nadu,33,294107,27129,331028,261562,230,10,0,15,0,1445,16727394
Adilabad,532,Telangana,36,311163,48649,153202,186322,285,64,1,34,6,1890,554199
Nizamabad,533,Telangana,36,101252,206898,735549,156619,23,2,0,0,0,1749,1719699
Karimnagar,534,Telangana,36,82412,95344,638706,92687,14,0,0,35,7,6573,2168420
Medak,535,Telangana,36,89355,189505,637063,152619,39,0,0,195,0,4594,2458380
Hyderabad,536,Telangana,36,15635,23327,13231,33876,761,24,3,11,31,116,24699
Rangareddi,537,Telangana,36,240826,167018,767125,256632,262,1206,75,16,1,6076,24069700
Mahbubnagar,538,Telangana,36,239883,149637,2302222,280693,80,118,0,201,0,20812,2824158
Nalgonda,539,Telangana,36,203456,309135,1098300,336324,23,0,1,4,0,6728,4435232
Warangal Rural,540,Telangana,36,91917,119476,732481,103591,0,7,0,0,0,8734,2045503
Khammam,541,Telangana,36,141117,375097,667318,190013,2,0,0,61,0,5641,2159090
Nirmal,641,Telangana,36,179045,121193,502576,131866,57,0,0,43,0,2981,501264
Jagitial,642,Telangana,36,47405,124248,610985,97033,6,15,0,0,0,14895,866795
PEDDAPALLI,643,Telangana,36,55946,90633,549286,96449,5,5,0,2,1,3969,1069946
RAJANNA SIRCILLA,644,Telangana,36,43818,73422,388227,87723,40,0,0,5,0,2531,743767
MANCHERIAL,645,Telangana,36,179757,105798,520731,183526,1,11,0,53,0,2259,868144
KAMAREDDY,646,Telangana,36,112157,181068,573769,167831,95,0,0,520,0,5600,1374712
WARANGAL URBAN,647,Telangana,36,38125,67141,387742,54787,7,0,0,7,1,8342,854260
JAYASHANKAR BHUPALAPALLY,648,Telangana,36,168849,123890,420601,156331,0,26,0,0,0,1950,935847
MAHABUBABAD,649,Telangana,36,181554,129628,677881,178035,2,0,0,7,0,7818,1108991
JANGOAN,650,Telangana,36,106628,129656,679929,126668,1,0,0,0,0,3456,872562
BHADRADRI KOTHAGUDEM,651,Telangana,36,283630,172284,267256,255909,7,0,1,0,1,3191,1610547
SANGAREDDY,652,Telangana,36,153829,165273,438757,229029,114,16,6,464,6,6145,1240991
SIDDIPET,653,Telangana,36,126615,177912,801259,183442,14,0,0,47,0,8705,9137424
WANAPARTHY,654,Telangana,36,75089,72531,976832,80608,0,2,0,30,13,8922,765609
NAGARKURNOOL,655,Telangana,36,223475,111755,967926,206403,5,0,0,15,0,11210,2769677
JOGULAMBA GADWAL,656,Telangana,36,75463,58240,576693,67568,27,8,0,0,0,5053,1480149
SURYAPET,657,Telangana,36,95148,289759,779090,140439,1,0,0,39,0,2634,2002987
YADADRI BHUVANAGIRI,658,Telangana,36,104965,158048,650426,147947,410,0,0,178,4,2442,4389080
VIKARABAD,659,Telangana,36,172506,80401,237536,254144,25,38,4,47,0,9947,533667
KUMURAM BHEEM ASIFABAD,660,Telangana,36,264451,49445,160958,259539,0,1,0,17,0,544,455807
MEDCHAL MALKAJGIRI,661,Telangana,36,27068,59895,149401,40020,14,15,0,0,0,2485,3958098
West Tripura,289,Tripura,16,89499,263,683,38248,0,0,0,0,0,23691,603293
South Tripura,290,Tripura,16,125692,178,286,59273,1,0,0,0,0,24463,657751
Dhalai,291,Tripura,16,90679,958,485,54263,1,0,0,0,0,50504,487262
North Tripura,292,Tripura,16,77278,1136,1870,37027,2,1,2,0,0,20860,305288
Gomati,671,Tripura,16,101284,668,786,52704,2,0,0,1,2,30034,633662
Khowai,673,Tripura,16,67060,87,202,36822,0,0,0,0,0,21496,384523
Sepahijala,681,Tripura,16,125849,233,519,50108,2,2,0,9,0,26514,820307
Unakoti,687,Tripura,16,61690,3608,629,31759,5,1,0,0,0,8473,276160
Almora,709,Uttarakhand,5,149080,77444,2186,185319,239,101,1392,4,0,359,72309
Bageshwar,710,Uttarakhand,5,76181,31432,20800,102075,243,3,1714,2,0,114,17986
chamoli,711,Uttarakhand,5,145625,37922,75417,96861,600,0,4064,4,0,287,34875
Champawat,712,Uttarakhand,5,79686,18599,10,60516,44,116,547,0,0,80,121577
Dehradun,713,Uttarakhand,5,194043,52185,6222,158314,444,131,1724,254,0,1692,583703
Haridwar,714,Uttarakhand,5,179395,214480,4697,26594,456,30,18,16,0,6129,274851
Nainital,715,Uttarakhand,5,176506,77759,828,66213,734,188,1368,2,15,779,639479
Pauri Garhwal,716,Uttarakhand,5,256311,30076,13276,142816,588,96,1374,186,0,1092,64070
Pithoragarh,717,Uttarakhand,5,162869,37056,44533,226060,622,0,2798,18,0,161,95814
Rudraprayag,718,Uttarakhand,5,74237,31115,13084,28363,217,17,2561,1,0,44,25877
Tehri Garhwal,719,Uttarakhand,5,86362,79394,21145,126944,479,3,2667,8,0,623,59815
Udham Singh Nagar,720,Uttarakhand,5,166349,152911,2068,51014,1181,19,77,23,0,6030,2997991
Uttarkashi,721,Uttarakhand,5,105479,25945,80349,100882,900,1,5989,71,0,269,30337
Saharanpur,132,Uttar Pradesh,9,266504,471973,15605,61682,1668,339,48,37,43,10287,526121
Muzaffarnagar,133,Uttar Pradesh,9,291224,459747,5664,29793,2182,42,225,185,28,8666,22316
Bijnor,134,Uttar Pradesh,9,378290,622405,4022,91889,2162,48,62,53,0,10168,342997
Moradabad,135,Uttar Pradesh,9,176934,408720,2900,96932,1875,18,6,35,0,3572,113771
Rampur,136,Uttar Pradesh,9,106096,353580,6761,80830,1738,20,25,50,1,1698,85648
Amroha,137,Uttar Pradesh,9,216649,514547,1076,75742,847,27,3,11,2,1736,25752
Meerut,138,Uttar Pradesh,9,244585,515704,3828,43470,1958,10,262,102,5,8276,391369
