GO,Function,Proteins,Gene Name,Ontology group,Count of protein,Number of proteins detected within the genome,GO frequency within the dataset (%),GO frequency within the genome (%),P-Value,P-Values_BH
GO:0002037,negative regulation of L-glutamate import across plasma membrane,Q5E9M1(Evidence code:ISS/Database source:UniProtKB:Q8R5J9),ARL6IP5,BP,1,1 of 1,1.92,100,0.003274,0.01335
GO:0008631,intrinsic apoptotic signaling pathway in response to oxidative stress,Q5E9M1(Evidence code:IEA/Database source:UniProtKB:O75915|ens),ARL6IP5,BP,1,1 of 1,1.92,100,0.003274,0.01335
GO:1903721,positive regulation of I-kappaB phosphorylation,Q1LZB0(Evidence code:ISS/Database source:UniProtKB:Q96HY6),DDRGK1,BP,1,1 of 1,1.92,100,0.003274,0.01335
GO:0039536,negative regulation of RIG-I signaling pathway,Q3T0B6(Evidence code:ISS/Database source:UniProtKB:Q07021),C1QBP,BP,1,1 of 1,1.92,100,0.003274,0.01335
GO:1901165,positive regulation of trophoblast cell migration,Q3T0B6(Evidence code:ISS/Database source:UniProtKB:Q07021),C1QBP,BP,1,1 of 1,1.92,100,0.003274,0.01335
GO:0006552,leucine catabolic process,Q3SZI8(Evidence code:IEA/Database source:UniPathway:UPA00363),IVD,BP,1,1 of 1,1.92,100,0.003274,0.01335
GO:0071763,nuclear membrane organization,A6QQR5(Evidence code:IEA/Database source:UniProtKB:Q9BTV4|ens),TMEM43,BP,1,1 of 1,1.92,100,0.003274,0.01335
GO:2000002,negative regulation of DNA damage checkpoint,Q3T147(Evidence code:ISS/Database source:UniProtKB:Q13838),DDX39B,BP,1,1 of 1,1.92,100,0.003274,0.01335
GO:0004052,arachidonate 12-lipoxygenase activity,Q6SYC4(Evidence code:ISS/Database source:UniProtKB:Q02759),ALOX12,MF,1,1 of 1,1.92,100,0.003274,0.01335
GO:0004046,aminoacylase activity,P00432(Evidence code:IEA/Database source:UniProtKB:P24270|ens),CAT,MF,1,1 of 1,1.92,100,0.003274,0.01335
GO:0030984,kininogen binding,Q3T0B6(Evidence code:ISS/Database source:UniProtKB:Q07021),C1QBP,MF,1,1 of 1,1.92,100,0.003274,0.01335
GO:0005639,integral component of nuclear inner membrane,A6QQR5(Evidence code:IEA/Database source:UniProtKB:Q9DBS1|ens),TMEM43,CC,1,1 of 1,1.92,100,0.003274,0.01335
GO:0004611,phosphoenolpyruvate carboxykinase activity,F1MDS3(Evidence code:IEA/Database source:InterPro:IPR008209|I),PCK2,MF,1,1 of 1,1.92,100,0.003274,0.01335
GO:0005740,mitochondrial envelope,P00428(Evidence code:IEA/Database source:InterPro:IPR002124|I),COX5B,CC,1,1 of 1,1.92,100,0.003274,0.01335
GO:0004613,phosphoenolpyruvate carboxykinase (GTP) activity,F1MDS3(Evidence code:IEA/Database source:InterPro:IPR018091),PCK2,MF,1,1 of 1,1.92,100,0.003274,0.01335
GO:0000274,"mitochondrial proton-transporting ATP synthase, stator stalk",P13620(Evidence code:IBA/Database source:PANTHER:PTN000294648),ATP5H,CC,1,1 of 1,1.92,100,0.003274,0.01335
GO:0046872,metal ion binding,Q3ZBG9(Evidence code:IEA/Database source:UniProtKB-KW:KW-0479)P00428(Evidence code:IEA/Database source:UniProtKB-KW:KW-0479)Q29RZ0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0479)P31800(Evidence code:IEA/Database source:InterPro:IPR011249)Q6SYC4(Evidence code:IEA/Database source:InterPro:IPR000907|I)P00426(Evidence code:IEA/Database source:UniProtKB-KW:KW-0479)P00432(Evidence code:IEA/Database source:UniProtKB-KW:KW-0479), PLSCR2 COX5B ACAT1 UQCRC1 ALOX12 COX5A CAT,MF,7,7 of 1125,13.46,0.62,0.003659,0.01467
GO:0008201,heparin binding,Q148K7(Evidence code:IEA/Database source:InterPro:IPR010483)A6H7H3(Evidence code:IEA/Database source:UniProtKB:O70503|ens), LRPAP1 LOC789567,MF,2,2 of 52,3.85,3.85,0.003691,0.01467
GO:0022900,electron transport chain,P13184(Evidence code:IEA/Database source:GO:0004129)P31039(Evidence code:IEA/Database source:InterPro:IPR014006),COX7A2 SDHA,BP,2,2 of 59,3.85,3.39,0.004683,0.0158
GO:0000035,acyl binding,P52505(Evidence code:IBA/Database source:PANTHER:PTN000466551),NDUFAB1,MF,1,1 of 2,1.92,50,0.004907,0.0158
GO:0010917,negative regulation of mitochondrial membrane potential,Q5E9M1(Evidence code:IEA/Database source:UniProtKB:O75915|ens),ARL6IP5,BP,1,1 of 2,1.92,50,0.004907,0.0158
GO:0047179,platelet-activating factor acetyltransferase activity,P68401(Evidence code:IBA/Database source:PANTHER:PTN000220758),PAFAH1B2,MF,1,1 of 2,1.92,50,0.004907,0.0158
GO:0032695,negative regulation of interleukin-12 production,Q3T0B6(Evidence code:ISS/Database source:UniProtKB:Q07021),C1QBP,BP,1,1 of 2,1.92,50,0.004907,0.0158
GO:0017128,phospholipid scramblase activity,Q3ZBG9(Evidence code:IBA/Database source:PANTHER:PTN000582979),PLSCR2,MF,1,1 of 2,1.92,50,0.004907,0.0158
GO:0006550,isoleucine catabolic process,Q29RZ0(Evidence code:IEA/Database source:UniProtKB:P24752|ens),ACAT1,BP,1,1 of 2,1.92,50,0.004907,0.0158
GO:2000510,positive regulation of dendritic cell chemotaxis,Q3T0B6(Evidence code:ISS/Database source:UniProtKB:Q07021),C1QBP,BP,1,1 of 2,1.92,50,0.004907,0.0158
GO:0006620,posttranslational protein targeting to endoplasmic reticulum membrane,Q5EA68(Evidence code:IEA/Database source:UniProtKB:P61619|ens),SEC61A1,BP,1,1 of 2,1.92,50,0.004907,0.0158
GO:0097177,mitochondrial ribosome binding,Q3T0B6(Evidence code:ISS/Database source:UniProtKB:O35658),C1QBP,MF,1,1 of 2,1.92,50,0.004907,0.0158
GO:0031177,phosphopantetheine binding,P52505(Evidence code:IBA/Database source:PANTHER:PTN000466551),NDUFAB1,MF,1,1 of 2,1.92,50,0.004907,0.0158
GO:0004366,glycerol-3-phosphate O-acyltransferase activity,Q5GJ77(Evidence code:IEA/Database source:InterPro:IPR028354),GPAM,MF,1,1 of 2,1.92,50,0.004907,0.0158
GO:0004096,catalase activity,P00432(Evidence code:IEA/Database source:InterPro:IPR011614|I),CAT,MF,1,1 of 2,1.92,50,0.004907,0.0158
GO:0001849,complement component C1q binding,Q3T0B6(Evidence code:ISS/Database source:UniProtKB:Q07021),C1QBP,MF,1,1 of 2,1.92,50,0.004907,0.0158
GO:0030285,integral component of synaptic vesicle membrane,A8PVV5(Evidence code:IBA/Database source:PANTHER:PTN000033897),SYPL1,CC,1,1 of 2,1.92,50,0.004907,0.0158
GO:0048019,receptor antagonist activity,Q148K7(Evidence code:IEA/Database source:InterPro:IPR038003),LRPAP1,MF,1,1 of 2,1.92,50,0.004907,0.0158
GO:0004030,aldehyde dehydrogenase [NAD(P)+] activity,Q1JPA0(Evidence code:IEA/Database source:EC:1.2.1.5),ALDH3B1,MF,1,1 of 2,1.92,50,0.004907,0.0158
GO:0043008,ATP-dependent protein binding,Q3T147(Evidence code:IEA/Database source:UniProtKB:Q13838|ens),DDX39B,MF,1,1 of 2,1.92,50,0.004907,0.0158
GO:0008177,succinate dehydrogenase (ubiquinone) activity,P31039(Evidence code:IEA/Database source:EC:1.3.5.1),SDHA,MF,1,1 of 2,1.92,50,0.004907,0.0158
GO:0005794,Golgi apparatus,A6QQR5(Evidence code:IEA/Database source:UniProtKB:Q9BTV4|ens)Q3T133(Evidence code:IEA/Database source:UniProtKB-KW:KW-0333)A7YY49(Evidence code:IEA/Database source:UniProtKB-KW:KW-0333), TMEM43 TMED9 SURF4,CC,3,3 of 202,5.77,1.49,0.005076,0.01618
GO:0034976,response to endoplasmic reticulum stress,Q3T0L2(Evidence code:IEA/Database source:UniProtKB:Q9BS26|ens)Q1LZB0(Evidence code:ISS/Database source:UniProtKB:Q80WW9), ERP44 DDRGK1,BP,2,2 of 70,3.85,2.86,0.006461,0.01914
GO:0005787,signal peptidase complex,Q2KI36(Evidence code:IEA/Database source:InterPro:IPR037710),SEC11C,CC,1,1 of 3,1.92,33.33,0.006538,0.01914
GO:0039534,negative regulation of MDA-5 signaling pathway,Q3T0B6(Evidence code:ISS/Database source:UniProtKB:Q07021),C1QBP,BP,1,1 of 3,1.92,33.33,0.006538,0.01914
GO:0015937,coenzyme A biosynthetic process,Q29RZ0(Evidence code:IEA/Database source:UniProtKB:P24752|ens),ACAT1,BP,1,1 of 3,1.92,33.33,0.006538,0.01914
GO:0042776,mitochondrial ATP synthesis coupled proton transport,P00428(Evidence code:IBA/Database source:PANTHER:PTN000012880),COX5B,BP,1,1 of 3,1.92,33.33,0.006538,0.01914
GO:0000346,transcription export complex,Q3T147(Evidence code:IEA/Database source:UniProtKB:Q13838|ens),DDX39B,CC,1,1 of 3,1.92,33.33,0.006538,0.01914
GO:0030621,U4 snRNA binding,Q3T147(Evidence code:IEA/Database source:UniProtKB:Q13838|ens),DDX39B,MF,1,1 of 3,1.92,33.33,0.006538,0.01914
GO:0005853,eukaryotic translation elongation factor 1 complex,Q5E983(Evidence code:IEA/Database source:InterPro:IPR001326),EEF1B,CC,1,1 of 3,1.92,33.33,0.006538,0.01914
GO:0000104,succinate dehydrogenase activity,P31039(Evidence code:ISS/Database source:UniProtKB:P31040),SDHA,MF,1,1 of 3,1.92,33.33,0.006538,0.01914
GO:0043209,myelin sheath,P13619(Evidence code:IEA/Database source:UniProtKB:Q9CQQ7|ens)P00426(Evidence code:IEA/Database source:UniProtKB:P12787|ens), ATP5F1 COX5A,CC,2,2 of 71,3.85,2.82,0.006635,0.01925
GO:0003847,1-alkyl-2-acetylglycerophosphocholine esterase activity,P68401(Evidence code:IEA/Database source:EC:3.1.1.47),PAFAH1B2,MF,1,1 of 4,1.92,25,0.008165,0.02138
GO:0016885,"ligase activity, forming carbon-carbon bonds",Q29RZ0(Evidence code:IEA/Database source:UniProtKB:P24752|ens),ACAT1,MF,1,1 of 4,1.92,25,0.008165,0.02138
GO:0001968,fibronectin binding,A6H7H3(Evidence code:IEA/Database source:UniProtKB:O70503|ens),LOC789567,MF,1,1 of 4,1.92,25,0.008165,0.02138
GO:0042612,MHC class I protein complex,O78186(Evidence code:IEA/Database source:UniProtKB-KW:KW-0490),Man8,CC,1,1 of 4,1.92,25,0.008165,0.02138
GO:0050918,positive chemotaxis,P35541(Evidence code:IEA/Database source:GO:0042056),SAA1,BP,1,1 of 4,1.92,25,0.008165,0.02138
GO:0000463,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",Q58DT1(Evidence code:IBA/Database source:PANTHER:PTN000897517),RPL7,BP,1,1 of 4,1.92,25,0.008165,0.02138
GO:0017070,U6 snRNA binding,Q3T147(Evidence code:IEA/Database source:UniProtKB:Q13838|ens),DDX39B,MF,1,1 of 4,1.92,25,0.008165,0.02138
GO:0006068,ethanol catabolic process,Q1JPA0(Evidence code:IEA/Database source:UniPathway:UPA00780),ALDH3B1,BP,1,1 of 4,1.92,25,0.008165,0.02138
GO:0009650,UV protection,P00432(Evidence code:IEA/Database source:UniProtKB:P04040|ens),CAT,BP,1,1 of 4,1.92,25,0.008165,0.02138
GO:0006121,"mitochondrial electron transport, succinate to ubiquinone",P31039(Evidence code:IBA/Database source:PANTHER:PTN000180258),SDHA,BP,1,1 of 4,1.92,25,0.008165,0.02138
GO:0042256,mature ribosome assembly,Q3T0B6(Evidence code:ISS/Database source:UniProtKB:Q07021),C1QBP,BP,1,1 of 4,1.92,25,0.008165,0.02138
GO:0005749,"mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)",P31039(Evidence code:ISS/Database source:UniProtKB:Q0QF01),SDHA,CC,1,1 of 4,1.92,25,0.008165,0.02138
GO:0016746,"transferase activity, transferring acyl groups",Q5GJ77(Evidence code:IEA/Database source:InterPro:IPR002123)Q29RZ0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0012), GPAM ACAT1,MF,2,2 of 85,3.85,2.35,0.009298,0.02335
GO:0005688,U6 snRNP,Q3T147(Evidence code:IEA/Database source:UniProtKB:Q13838|ens),DDX39B,CC,1,1 of 5,1.92,20,0.00979,0.02335
GO:0006465,signal peptide processing,Q2KI36(Evidence code:IEA/Database source:InterPro:IPR001733|I),SEC11C,BP,1,1 of 5,1.92,20,0.00979,0.02335
GO:0006614,SRP-dependent cotranslational protein targeting to membrane,Q5EA68(Evidence code:IEA/Database source:UniProtKB:P61619|ens),SEC61A1,BP,1,1 of 5,1.92,20,0.00979,0.02335
GO:0015936,coenzyme A metabolic process,Q29RZ0(Evidence code:IEA/Database source:UniProtKB:P24752|ens),ACAT1,BP,1,1 of 5,1.92,20,0.00979,0.02335
GO:1990592,protein K69-linked ufmylation,Q1LZB0(Evidence code:ISS/Database source:UniProtKB:Q96HY6),DDRGK1,BP,1,1 of 5,1.92,20,0.00979,0.02335
GO:0006085,acetyl-CoA biosynthetic process,Q29RZ0(Evidence code:IEA/Database source:UniProtKB:P24752|ens),ACAT1,BP,1,1 of 5,1.92,20,0.00979,0.02335
GO:0098869,cellular oxidant detoxification,P00432(Evidence code:IEA/Database source:GO:0004096),CAT,BP,1,1 of 5,1.92,20,0.00979,0.02335
GO:0042744,hydrogen peroxide catabolic process,P00432(Evidence code:IEA/Database source:UniProtKB-KW:KW-0376),CAT,BP,1,1 of 5,1.92,20,0.00979,0.02335
GO:0015813,L-glutamate transmembrane transport,Q5E9M1(Evidence code:ISS/Database source:UniProtKB:Q8R5J9),ARL6IP5,BP,1,1 of 5,1.92,20,0.00979,0.02335
GO:0030449,regulation of complement activation,Q3T0B6(Evidence code:ISS/Database source:UniProtKB:Q07021),C1QBP,BP,1,1 of 5,1.92,20,0.00979,0.02335
GO:0005746,mitochondrial respiratory chain,P13184(Evidence code:IEA/Database source:InterPro:IPR003177),COX7A2,CC,1,1 of 5,1.92,20,0.00979,0.02335
GO:0009986,cell surface,Q3T0L2(Evidence code:IEA/Database source:UniProtKB:Q9BS26|ens)Q3T0B6(Evidence code:IEA/Database source:UniProtKB:Q07021|ens), ERP44 C1QBP,CC,2,2 of 94,3.85,2.13,0.01122,0.02588
GO:0000036,acyl carrier activity,P52505(Evidence code:IBA/Database source:PANTHER:PTN000466551),NDUFAB1,MF,1,1 of 6,1.92,16.67,0.01141,0.02588
GO:0032689,negative regulation of interferon-gamma production,Q3T0B6(Evidence code:ISS/Database source:UniProtKB:Q07021),C1QBP,BP,1,1 of 6,1.92,16.67,0.01141,0.02588
GO:0016024,CDP-diacylglycerol biosynthetic process,Q5GJ77(Evidence code:IEA/Database source:UniPathway:UPA00557),GPAM,BP,1,1 of 6,1.92,16.67,0.01141,0.02588
GO:0070131,positive regulation of mitochondrial translation,Q3T0B6(Evidence code:ISS/Database source:UniProtKB:O35658),C1QBP,BP,1,1 of 6,1.92,16.67,0.01141,0.02588
GO:0020027,hemoglobin metabolic process,P00432(Evidence code:IEA/Database source:UniProtKB:P24270|ens),CAT,BP,1,1 of 6,1.92,16.67,0.01141,0.02588
GO:0070181,small ribosomal subunit rRNA binding,Q56JX8(Evidence code:IBA/Database source:PANTHER:PTN000223267),RPS13,MF,1,1 of 6,1.92,16.67,0.01141,0.02588
GO:0050750,low-density lipoprotein particle receptor binding,Q148K7(Evidence code:IEA/Database source:InterPro:IPR010483|I),LRPAP1,MF,1,1 of 7,1.92,14.29,0.01303,0.02855
GO:0000245,spliceosomal complex assembly,Q3T147(Evidence code:IEA/Database source:UniProtKB:Q13838|ens),DDX39B,BP,1,1 of 7,1.92,14.29,0.01303,0.02855
GO:1900026,positive regulation of substrate adhesion-dependent cell spreading,Q3T0B6(Evidence code:ISS/Database source:UniProtKB:Q07021),C1QBP,BP,1,1 of 7,1.92,14.29,0.01303,0.02855
GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,O78186(Evidence code:IEA/Database source:UniProtKB-KW:KW-0490),Man8,BP,1,1 of 7,1.92,14.29,0.01303,0.02855
GO:0050687,negative regulation of defense response to virus,Q3T0B6(Evidence code:ISS/Database source:UniProtKB:Q07021),C1QBP,BP,1,1 of 7,1.92,14.29,0.01303,0.02855
GO:0008380,RNA splicing,Q3T147(Evidence code:IEA/Database source:UniProtKB-KW:KW-0508)Q3T0B6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0508), DDX39B C1QBP,BP,2,2 of 106,3.85,1.89,0.01403,0.03043
GO:0003995,acyl-CoA dehydrogenase activity,Q3SZI8(Evidence code:IEA/Database source:InterPro:IPR006089|I),IVD,MF,1,1 of 8,1.92,12.5,0.01465,0.03043
GO:0008250,oligosaccharyltransferase complex,Q2KID7(Evidence code:IEA/Database source:UniProtKB:Q9NRP0|ens),OSTC,CC,1,1 of 8,1.92,12.5,0.01465,0.03043
GO:0014065,phosphatidylinositol 3-kinase signaling,Q3T0B6(Evidence code:ISS/Database source:UniProtKB:Q07021),C1QBP,BP,1,1 of 8,1.92,12.5,0.01465,0.03043
GO:0005540,hyaluronic acid binding,Q3T0B6(Evidence code:ISS/Database source:UniProtKB:Q07021),C1QBP,MF,1,1 of 8,1.92,12.5,0.01465,0.03043
GO:0005687,U4 snRNP,Q3T147(Evidence code:IEA/Database source:UniProtKB:Q13838|ens),DDX39B,CC,1,1 of 8,1.92,12.5,0.01465,0.03043
GO:0031690,adrenergic receptor binding,Q3T0B6(Evidence code:ISS/Database source:UniProtKB:O35796),C1QBP,MF,1,1 of 8,1.92,12.5,0.01465,0.03043
GO:0003756,protein disulfide isomerase activity,Q3T0L2(Evidence code:IEA/Database source:UniProtKB:Q9BS26|ens),ERP44,MF,1,1 of 8,1.92,12.5,0.01465,0.03043
GO:0004029,aldehyde dehydrogenase (NAD) activity,Q1JPA0(Evidence code:IEA/Database source:UniProtKB:Q80VQ0|ens),ALDH3B1,MF,1,1 of 9,1.92,11.11,0.01626,0.03273
GO:0032786,"positive regulation of DNA-templated transcription, elongation",Q3T147(Evidence code:ISS/Database source:UniProtKB:Q13838),DDX39B,BP,1,1 of 9,1.92,11.11,0.01626,0.03273
GO:0016239,positive regulation of macroautophagy,P68401(Evidence code:IEA/Database source:UniProtKB:P68402|ens),PAFAH1B2,BP,1,1 of 9,1.92,11.11,0.01626,0.03273
GO:0046185,aldehyde catabolic process,Q1JPA0(Evidence code:IEA/Database source:UniProtKB:P43353|ens),ALDH3B1,BP,1,1 of 9,1.92,11.11,0.01626,0.03273
GO:0005537,mannose binding,Q8MJ82(Evidence code:IEA/Database source:InterPro:IPR033085),lman1,MF,1,1 of 9,1.92,11.11,0.01626,0.03273
GO:0006629,lipid metabolic process,P68401(Evidence code:IEA/Database source:UniProtKB-KW:KW-0443)P52505(Evidence code:IEA/Database source:UniProtKB-KW:KW-0443)Q5GJ77(Evidence code:IEA/Database source:UniProtKB-KW:KW-0443), PAFAH1B2 NDUFAB1 GPAM,BP,3,3 of 325,5.77,0.92,0.0179,0.03373
GO:0043065,positive regulation of apoptotic process,Q5E9M1(Evidence code:IEA/Database source:UniProtKB:O75915|ens)Q3T0B6(Evidence code:ISS/Database source:UniProtKB:Q07021), ARL6IP5 C1QBP,BP,2,2 of 121,3.85,1.65,0.01792,0.03373
GO:1902476,chloride transmembrane transport,A0JND8(Evidence code:IEA/Database source:GO:0005254),ABCC4,BP,1,1 of 10,1.92,10,0.01787,0.03373
GO:0045047,protein targeting to ER,Q5EA68(Evidence code:ISS/Database source:UniProtKB:P38377),SEC61A1,BP,1,1 of 10,1.92,10,0.01787,0.03373
GO:0033146,regulation of intracellular estrogen receptor signaling pathway,Q1LZB0(Evidence code:ISS/Database source:UniProtKB:Q96HY6),DDRGK1,BP,1,1 of 10,1.92,10,0.01787,0.03373
GO:0048025,"negative regulation of mRNA splicing, via spliceosome",Q3T0B6(Evidence code:ISS/Database source:UniProtKB:Q07021),C1QBP,BP,1,1 of 10,1.92,10,0.01787,0.03373
GO:0090023,positive regulation of neutrophil chemotaxis,Q3T0B6(Evidence code:ISS/Database source:UniProtKB:Q07021),C1QBP,BP,1,1 of 10,1.92,10,0.01787,0.03373
GO:0003746,translation elongation factor activity,Q5E983(Evidence code:IEA/Database source:InterPro:IPR001326|I),EEF1B,MF,1,1 of 10,1.92,10,0.01787,0.03373
GO:0005750,mitochondrial respiratory chain complex III,P31800(Evidence code:IBA/Database source:PANTHER:PTN000220240),UQCRC1,CC,1,1 of 10,1.92,10,0.01787,0.03373
GO:0016702,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",Q6SYC4(Evidence code:IEA/Database source:InterPro:IPR000907|I),ALOX12,MF,1,1 of 10,1.92,10,0.01787,0.03373
GO:0042056,chemoattractant activity,P35541(Evidence code:IBA/Database source:PANTHER:PTN000603423),SAA1,MF,1,1 of 10,1.92,10,0.01787,0.03373
GO:0006397,mRNA processing,Q3T147(Evidence code:IEA/Database source:UniProtKB-KW:KW-0507)Q3T0B6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0507), DDX39B C1QBP,BP,2,2 of 123,3.85,1.63,0.01846,0.03457
GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",P31800(Evidence code:IBA/Database source:PANTHER:PTN000220240),UQCRC1,BP,1,1 of 11,1.92,9.09,0.01948,0.03626
GO:0050840,extracellular matrix binding,P55906(Evidence code:IEA/Database source:InterPro:IPR032954),TGFBI,MF,1,1 of 12,1.92,8.33,0.02109,0.03858
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",P52505(Evidence code:TAS/Database source:),NDUFAB1,BP,1,1 of 12,1.92,8.33,0.02109,0.03858
GO:0007029,endoplasmic reticulum organization,Q5EA68(Evidence code:IEA/Database source:UniProtKB:P61619|ens),SEC61A1,BP,1,1 of 12,1.92,8.33,0.02109,0.03858
GO:0010501,RNA secondary structure unwinding,Q3T147(Evidence code:IEA/Database source:UniProtKB:Q13838|ens),DDX39B,BP,1,1 of 13,1.92,7.69,0.02269,0.04105
GO:0034364,high-density lipoprotein particle,P35541(Evidence code:IEA/Database source:UniProtKB-KW:KW-0345),SAA1,CC,1,1 of 13,1.92,7.69,0.02269,0.04105
GO:0008374,O-acyltransferase activity,Q5GJ77(Evidence code:IEA/Database source:InterPro:IPR022284),GPAM,MF,1,1 of 14,1.92,7.14,0.02429,0.0437
GO:0000139,Golgi membrane,Q3T133(Evidence code:IEA/Database source:GO:0048205)A7YY49(Evidence code:IEA/Database source:UniProtKB-SubCell:SL), TMED9 SURF4,CC,2,2 of 147,3.85,1.36,0.02558,0.04576
GO:0006958,"complement activation, classical pathway",Q3T0B6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0180),C1QBP,BP,1,1 of 15,1.92,6.67,0.02589,0.04606
GO:0015031,protein transport,Q0V888(Evidence code:IEA/Database source:UniProtKB-KW:KW-0653)Q3T133(Evidence code:IEA/Database source:UniProtKB-KW:KW-0653)Q5EA68(Evidence code:IEA/Database source:InterPro:IPR002208), COPG TMED9 SEC61A1,BP,3,3 of 394,5.77,0.76,0.02918,0.04745
GO:0004004,ATP-dependent RNA helicase activity,Q3T147(Evidence code:IEA/Database source:UniProtKB:Q13838|ens),DDX39B,MF,1,1 of 17,1.92,5.88,0.02908,0.04745
GO:0005504,fatty acid binding,P52505(Evidence code:IDA/Database source:),NDUFAB1,MF,1,1 of 16,1.92,6.25,0.02749,0.04745
GO:0008186,RNA-dependent ATPase activity,Q3T147(Evidence code:IEA/Database source:UniProtKB:Q13838|ens),DDX39B,MF,1,1 of 17,1.92,5.88,0.02908,0.04745
GO:0005778,peroxisomal membrane,P00432(Evidence code:IEA/Database source:UniProtKB:P24270|ens),CAT,CC,1,1 of 16,1.92,6.25,0.02749,0.04745
GO:0019905,syntaxin binding,Q3T133(Evidence code:IEA/Database source:UniProtKB:Q9BVK6|ens),TMED9,MF,1,1 of 17,1.92,5.88,0.02908,0.04745
GO:0006986,response to unfolded protein,Q3T0L2(Evidence code:IEA/Database source:UniProtKB:Q9BS26|ens),ERP44,BP,1,1 of 17,1.92,5.88,0.02908,0.04745
GO:0006953,acute-phase response,P35541(Evidence code:IEA/Database source:UniProtKB-KW:KW-0011),SAA1,BP,1,1 of 16,1.92,6.25,0.02749,0.04745
GO:0006094,gluconeogenesis,F1MDS3(Evidence code:IEA/Database source:InterPro:IPR008209|I),PCK2,BP,1,1 of 16,1.92,6.25,0.02749,0.04745
GO:0042542,response to hydrogen peroxide,P00432(Evidence code:IBA/Database source:PANTHER:PTN000157250),CAT,BP,1,1 of 17,1.92,5.88,0.02908,0.04745
GO:0010811,positive regulation of cell-substrate adhesion,A6H7H3(Evidence code:IEA/Database source:UniProtKB:O70503|ens),LOC789567,BP,1,1 of 17,1.92,5.88,0.02908,0.04745
GO:0002526,acute inflammatory response,Q6QUN5(Evidence code:IEA/Database source:InterPro:IPR039141),TREM1,BP,1,1 of 17,1.92,5.88,0.02908,0.04745
GO:0006406,mRNA export from nucleus,Q3T147(Evidence code:ISS/Database source:UniProtKB:Q13838),DDX39B,BP,1,1 of 17,1.92,5.88,0.02908,0.04745
GO:0009100,glycoprotein metabolic process,Q3T0L2(Evidence code:IEA/Database source:UniProtKB:Q9BS26|ens),ERP44,BP,1,1 of 17,1.92,5.88,0.02908,0.04745
GO:0005178,integrin binding,P55906(Evidence code:IEA/Database source:InterPro:IPR032954),TGFBI,MF,1,1 of 17,1.92,5.88,0.02908,0.04745
GO:0005637,nuclear inner membrane,A6QQR5(Evidence code:IEA/Database source:UniProtKB:Q9DBS1|ens),TMEM43,CC,1,1 of 17,1.92,5.88,0.02908,0.04745
GO:0043621,protein self-association,A6QQR5(Evidence code:IEA/Database source:UniProtKB:Q9DBS1|ens),TMEM43,MF,1,1 of 16,1.92,6.25,0.02749,0.04745
GO:0014068,positive regulation of phosphatidylinositol 3-kinase signaling,P00432(Evidence code:IEA/Database source:UniProtKB:P24270|ens),CAT,BP,1,1 of 18,1.92,5.56,0.03067,0.04865
GO:0006641,triglyceride metabolic process,P00432(Evidence code:IEA/Database source:UniProtKB:P24270|ens),CAT,BP,1,1 of 18,1.92,5.56,0.03067,0.04865
GO:0006635,fatty acid beta-oxidation,Q29RZ0(Evidence code:IBA/Database source:PANTHER:PTN000432120),ACAT1,BP,1,1 of 18,1.92,5.56,0.03067,0.04865
GO:0032088,negative regulation of NF-kappaB transcription factor activity,P00432(Evidence code:IEA/Database source:UniProtKB:P24270|ens),CAT,BP,1,1 of 18,1.92,5.56,0.03067,0.04865
GO:0050661,NADP binding,P00432(Evidence code:IEA/Database source:UniProtKB:P04040|ens),CAT,MF,1,1 of 18,1.92,5.56,0.03067,0.04865
GO:0004601,peroxidase activity,P00432(Evidence code:IEA/Database source:UniProtKB-KW:KW-0575),CAT,MF,1,1 of 19,1.92,5.26,0.03226,0.04993
GO:0042645,mitochondrial nucleoid,Q5E9X4(Evidence code:IEA/Database source:UniProtKB:Q96AG4|ens),LRRC59,CC,1,1 of 19,1.92,5.26,0.03226,0.04993
GO:0019882,antigen processing and presentation,O78186(Evidence code:IEA/Database source:InterPro:IPR010579),Man8,BP,1,1 of 19,1.92,5.26,0.03226,0.04993
GO:0043022,ribosome binding,Q5EA68(Evidence code:IEA/Database source:UniProtKB:P61620|ens),SEC61A1,MF,1,1 of 19,1.92,5.26,0.03226,0.04993
GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",Q1JPA0(Evidence code:IEA/Database source:InterPro:IPR016163),ALDH3B1,MF,1,1 of 19,1.92,5.26,0.03226,0.04993
GO:0016684,"oxidoreductase activity, acting on peroxide as acceptor",P00432(Evidence code:IEA/Database source:UniProtKB:P24270|ens),CAT,MF,1,1 of 21,1.92,4.76,0.03542,0.0533
